lat,lon,store
4.00724,98.26966,W253
-6.42294,106.88852,X614
-6.24703,106.98465,CD15
-2.96202,104.75888,P426
3.32456,99.16859,W283
-6.08098,106.69672,T207
-6.87954,111.99165,U544
-3.43475,114.82185,1G65
-5.26145,105.81657,L251
-6.92843,107.74108,BC05
-7.36671,107.81525,BC06
3.31839,99.1486,W210
-1.29541,102.11414,1DB2
-2.13774,102.81505,1DB1
-3.30895,114.57969,1G23
-7.85986,113.29957,Y092
-4.6846,105.63153,L167
-5.13954,105.37463,L058
-5.08633,105.29934,L289
-6.27237,106.80182,EH11
-6.79908,107.53536,N525
-6.91722,112.55212,U494
-3.00356,104.764,P407
-2.03422,102.96595,1DC3
-4.79445,104.48892,L198
-5.61098,105.58659,L338
-8.11828,112.5539,M774
-6.9235,110.14636,H463
-6.96829,110.07776,H461
-7.29458,112.59469,U239
-3.20824,104.65077,P386
-8.57419,115.25718,Q309
-6.25048,106.794,KB40
-5.10899,119.60514,R314
-3.40321,114.85585,1G18
-8.55572,115.12165,Q277
-3.31854,114.65158,1G53
-6.98625,107.62756,B028
-6.83828,108.23016,V095
-7.33614,112.74375,U021
-7.44105,112.68322,U438
-7.49878,112.42311,M260
-7.97583,112.65724,M286
-8.743,116.24153,Q276
-6.36959,106.73914,X121
-7.58304,112.14165,M821
-8.11896,113.36143,Y065
-7.03343,110.42452,H593
-7.2979,110.40284,H174
-6.9327,106.24873,T423
-6.13819,106.80289,K271
-6.92664,106.95757,X559
-6.94181,106.92497,X556
-6.87474,108.88567,V320
-6.95275,106.9119,X213
-6.47899,106.85518,X374
-1.72128,103.13984,1D92
-6.63444,106.67966,X487
-8.25966,113.44525,Y243
-7.05791,107.76315,BC15
3.57847,98.70352,W185
2.96799,99.07624,W183
-7.24987,112.70891,U262
-6.26661,107.27229,CA16
-5.15797,119.45294,R081
-7.13038,111.77251,U550
-7.42183,106.71054,X571
-1.60055,103.37633,1DA6
-7.26292,106.71953,X572
-6.92254,110.18262,H371
-3.34741,114.62841,1G44
-6.19912,106.80221,KB13
-6.14646,106.7295,KB39
3.67966,98.65616,W190
-2.91348,104.69457,P399
-6.55398,107.76865,N095
-7.24141,112.7184,U487
-6.28658,107.03332,C643
-6.28229,107.02794,C480
-7.33379,111.91341,U548
-7.70754,114.02069,Y106
-8.43738,114.18234,Y021
-8.19783,114.37539,Y008
-8.05091,113.83314,Y141
